               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,             0.04125,           0.0099835,                   0,             0.90325,             0.82617,             0.87715,             0.46727,            0.034871,              0.0056,                   0,           0.0090004,           0.0090004,           0.0090004
                  71,            0.041081,            0.010183,                   0,             0.90399,             0.80177,             0.87941,             0.46131,             0.03511,           0.0052661,                   0,           0.0089726,           0.0089726,           0.0089726
                  72,            0.040555,             0.01022,                   0,             0.89896,              0.8315,             0.88934,             0.47761,            0.034238,           0.0053216,                   0,           0.0089444,           0.0089444,           0.0089444
                  73,             0.03975,           0.0098072,                   0,             0.86873,             0.83395,             0.87617,             0.47259,            0.034453,           0.0052482,                   0,           0.0089159,           0.0089159,           0.0089159
                  74,            0.040043,            0.010135,                   0,             0.87838,             0.86088,             0.89012,             0.48387,            0.034372,           0.0052281,                   0,            0.008887,            0.008887,            0.008887
                  75,            0.039678,           0.0099065,                   0,              0.8635,             0.84425,             0.88568,             0.48202,             0.03431,           0.0052091,                   0,           0.0088579,           0.0088579,           0.0088579
                  76,            0.039903,            0.010062,                   0,             0.89929,              0.8315,             0.89119,             0.48539,            0.034291,           0.0051788,                   0,           0.0088284,           0.0088284,           0.0088284
                  77,            0.039223,           0.0097582,                   0,             0.88328,              0.8669,              0.8991,             0.50077,            0.033233,           0.0050137,                   0,           0.0087987,           0.0087987,           0.0087987
                  78,            0.039106,           0.0098777,                   0,             0.87466,             0.84483,             0.88682,             0.48363,            0.034026,           0.0052749,                   0,           0.0087686,           0.0087686,           0.0087686
                  79,            0.039227,           0.0098804,                   0,             0.91126,             0.85061,             0.90047,             0.49943,            0.033209,            0.005234,                   0,           0.0087382,           0.0087382,           0.0087382
                  80,            0.039128,           0.0098248,                   0,             0.89729,             0.84732,             0.90119,             0.49696,             0.03351,           0.0051136,                   0,           0.0087075,           0.0087075,           0.0087075
                  81,            0.038748,            0.009837,                   0,             0.91544,             0.85487,             0.90452,             0.50747,            0.032793,           0.0050288,                   0,           0.0086765,           0.0086765,           0.0086765
                  82,            0.039106,           0.0097666,                   0,             0.88653,              0.8601,             0.89833,             0.49507,            0.033091,           0.0051113,                   0,           0.0086452,           0.0086452,           0.0086452
